,Similarity,EmojiSequence
0,0.9374945,🥰🌻
1,0.91340107,🎉😊
2,0.91333854,🌻☀
3,0.9122093,😊💖
4,0.9113186,🤗🌷
5,0.90620565,🥰😘😘😘
6,0.9049384,😘🥰❤
7,0.9042719,😍😍💕
8,0.90165985,🌙❤
9,0.90158963,💫⭐
10,0.9015745,💐🍀
11,0.9005414,💕🤗
12,0.89996207,😘✨
13,0.89956427,😘😘♥
14,0.8992448,👍👋
15,0.8987626,✨🤗
16,0.8971249,🌹💫
17,0.8966552,💐🤗
18,0.89585227,😊🙌
19,0.8956357,😊💞
20,0.8946014,🥺💖💖💖
21,0.89411455,💖😊
22,0.892856,😃🌞☀
23,0.8920034,🥂🤗
24,0.891871,💜🤗
25,0.8901237,🖤💜
26,0.88983667,😍🍀
27,0.88941944,🎉🎉🎉❤
28,0.8890536,💜😘
29,0.8889018,🌻✨
30,0.8883127,🥳🥳🥳❤
31,0.88712513,👏☺
32,0.8862901,🥰😘❤
33,0.88613164,🙏😊❤
34,0.8860903,💚😍
35,0.88526154,💋💋💋💋💋💋💋
36,0.8852373,🌺😘
37,0.88464326,🙏🏻💜
38,0.8845706,😃😘
39,0.88394356,🎸🎸🎸
40,0.88355356,🖤☕
41,0.8825314,🥰🥰🙏
42,0.88236976,🎊🍾
43,0.8823231,💖🙏
44,0.88208336,💗☀
45,0.8814413,💞🥰
46,0.88126564,🤍💜
47,0.87993765,🤗😘😘😘
48,0.87961054,🙏✨✨
49,0.8788848,🙏☀
50,0.8786422,🌞😃
51,0.87844634,🙏🏼💚
52,0.8775509,🙂🥰
53,0.8774516,💕🙏
54,0.8770549,🙏😇🙏
55,0.876896,❤🙏🏻
56,0.87680626,🎄💕
57,0.8766984,🎉💐
58,0.87666786,💕😊
59,0.87655497,🤩😘
60,0.87652004,🌞🌻
61,0.8763187,🤗❣
62,0.87611866,😍💓
63,0.87541926,👍🍀
64,0.87448263,😄☀
65,0.8742974,🤩😍❤
66,0.873929,❤🎉
67,0.87363994,🎁🎂🎉
68,0.8733672,🥳💕
69,0.8717238,🌻😊
70,0.87170804,✨🎉
71,0.87160707,😘💙
72,0.87142193,😉💕
73,0.87126267,🎂🍾
74,0.87124276,😊🙏🏼
75,0.87016857,💗🌹
76,0.870157,😊🎄❤
77,0.8698026,🙏🏼😘
78,0.8693914,🌞🥰
79,0.8689171,☕🥰
80,0.8688282,🌼🌸
81,0.86804914,😊💐
82,0.867615,🥰🙏🏻
