,Similarity,EmojiSequence
0,0.86471504,🤣🤣
1,0.82621366,😂🤭
2,0.8153311,😜😂
3,0.8036962,😃😃😃
4,0.8028787,😂😁
5,0.8019739,😁😁
6,0.80079484,🙈🙈
7,0.796297,🤪🤪
8,0.7925556,😄😄
9,0.7898588,😁😁😁😁
10,0.78636014,😄😄😄
11,0.78295,😀😀😀😀
12,0.7808442,😏😏😏
13,0.77823377,😀😀
14,0.7753041,😝😝
15,0.7741896,😅😅😅
16,0.7705486,😜😜
17,0.77044016,😁😁😁
18,0.7686002,😏😏
19,0.7635571,😀😀😀
20,0.7581606,😅😅
21,0.7551187,😆😆😆
22,0.742458,🤔😂
23,0.7397212,😃😃
24,0.739468,😊😊
25,0.73818374,😊😊😊
26,0.73608243,😉😂
27,0.72996217,🤭😂
28,0.7281074,😋😋
29,0.72331107,🤭🤭
30,0.7180662,😉😉
31,0.7110919,😆😆
32,0.7026245,😎😎
33,0.7021236,😋😋😋
