,Similarity,EmojiSequence
0,0.90413374,💗💗💗💗
1,0.89139867,💖💖💖💖
2,0.8856205,💖💖
3,0.8835834,❤🥰
4,0.8719549,😍💜
5,0.8717709,🥰💜
6,0.8716944,😘🥰
7,0.86927766,😍🤍
8,0.857146,💕💕💕💕
9,0.85627866,💘💘💘
10,0.8562243,🥺💜
11,0.8491951,💗💗💗
12,0.84622884,💞💞
13,0.84443694,💜💜💜💜
14,0.83992827,❤😍
15,0.83735836,🤍🤍🤍🤍
16,0.8352356,💛💛💛
17,0.8244501,💙💙💙💙
18,0.8193662,❤❤❤❤❤
19,0.8168365,💛💛
20,0.8159516,😭💜
21,0.81408453,💖💖💖
22,0.8135897,🥺💖
23,0.8112321,💕💕💕
24,0.80825657,🥰🥰🥰🥰
25,0.8055205,🥰🥰🥰🥰🥰
26,0.79467446,💕💕
27,0.7921857,💜💜
28,0.79094106,❤❤❤❤
29,0.7862657,😍😘
30,0.7810552,🤍🤍
31,0.7778381,❤❤❤
32,0.77751154,🥰😘
33,0.77512157,🥰🥰
34,0.7713018,💜💜💜
35,0.7705279,💗💗
36,0.76991636,😘😘😘😘
37,0.7612759,💘💘
38,0.75706995,💋❤
39,0.75615156,💙💙💙
40,0.75404954,💙💙
41,0.7531469,💚💚💚
42,0.73145366,💋💋
43,0.7290412,🥰🥰🥰
44,0.7200495,😘❤
45,0.7067418,💚💚
46,0.700626,😘😘😘
47,0.6860027,😘😘
48,0.61111706,🌹🌹
49,0.60622597,♥♥
50,0.60433936,❤❤
51,0.6030434,🦋🦋🦋
