,Similarity,EmojiSequence
0,0.8914412,😔😔😔😔
1,0.8827035,😭😔
2,0.8806811,😫😫😫😫
3,0.87460023,🥲🥲🥲🥲🥲
4,0.87139785,🥲🥲🥲🥲
5,0.8662586,😩😩😩😩😩
6,0.8599255,😭😭😭💔
7,0.8550534,😭🥲
8,0.8544106,😖😖
9,0.85410076,😩😭
10,0.8534728,😩😩😩😩😩😩
11,0.85068285,😣😣
12,0.84954154,😰😰😰
13,0.8495239,😭🤣🤣
14,0.84604126,🥲🥺
15,0.8458856,😞😞😞😞
16,0.84462345,🤧🤧🤧🤧
17,0.84387577,🥲🤣
18,0.8436192,🤨🤨🤨
19,0.84324586,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
20,0.8426581,🤣😭
21,0.8411454,🤨🤨🤨🤨
22,0.841139,😭😭💔
23,0.83747894,😮‍💨😮‍💨
24,0.8362972,😂😭😭😭
25,0.8359825,😩😩
26,0.83546644,😖😖😖
27,0.8336691,😮‍💨😮‍💨😮‍💨
28,0.8328916,😣😣😣
29,0.83209264,😩😩😩😩
30,0.8297496,🥴🥴🥴🥴
31,0.82956094,😭😭🤣
32,0.82689774,😔😭
33,0.8268881,🥴🥴🥴
34,0.8253664,😩😩😩
35,0.8252083,💔💔💔💔💔
36,0.82327175,😫😫😫
37,0.82292056,😫😫
38,0.8229115,😞💔
39,0.82129467,😔😔😔😔😔
40,0.82062733,🤯🤯🤯🤯
41,0.8201355,🥲😭
42,0.8191666,😭😭😭😂
43,0.81841767,😰😰
44,0.8171866,💀😭
45,0.81690323,😭😭😭😭😭😭😭😭😭😭😭😭😭😭
46,0.8165554,😭😭🤣🤣
47,0.81506354,😭😩
48,0.8123945,😭😭😭😭😭😭😭😭😭😭😭😭😭
49,0.81152725,😭💀
50,0.81056136,🥺🥺🥺🥺🥺🥺
51,0.8093477,🤨🤨
52,0.808298,🤣🤣🤣😭
53,0.807891,😩😂
54,0.80752754,😒😒😒
55,0.80711615,🥺😔
56,0.8067499,🥱🥱
57,0.80496764,🤢🤢🤢🤢
58,0.8025844,🙃🙃
59,0.8010494,💀💀💀💀💀
60,0.7990694,🥴🥴
61,0.79850024,😂😭😭
62,0.79625744,😭😭😂
63,0.7942623,😭🤣
64,0.7939062,😭😂😂😂
65,0.79373777,😅🤣
66,0.79157645,😵‍💫😵‍💫
67,0.7908056,😠😠😠
68,0.79065263,😓😓😓
69,0.79037595,😞😞😞
70,0.78890586,😓😓
71,0.7879951,😿😿
72,0.7879085,😑😑😑
73,0.78757876,😪😪😪
74,0.78650033,😠😠
75,0.78601295,😂😭
76,0.78555596,💀💀💀💀
77,0.7854362,😞😞
78,0.7830896,😔😔
79,0.7823263,🥺😂
80,0.78105414,😂🤡
81,0.7792236,😤😤
82,0.77879876,💔🥺
83,0.7785215,🤢🤢
84,0.7770771,💀💀
85,0.7755283,🤧😭
86,0.774274,🤧🤧
87,0.773062,😔😔😔
88,0.77277005,😭😂
89,0.7727377,😢😢😢😢
90,0.7716987,😑😑
91,0.77087533,👉🏼👈🏼
92,0.7686856,😮😮😮
93,0.7655474,😌😌😌
94,0.76548123,😂🥲
95,0.76544064,🤡🤡🤡🤡🤡
96,0.7649492,🤬🤬🤬🤬🤬
97,0.76422364,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
98,0.7622881,😭😭😂😂
99,0.76208913,💀😂
100,0.76138747,🙄🙄🙄🙄
101,0.7595983,💔💔💔💔
102,0.75633216,😤😤😤
103,0.75439405,🙃🙃🙃
104,0.753388,👁👄👁
105,0.7527243,💀💀💀
106,0.7514725,🤢🤢🤢
107,0.75104046,😬😬
108,0.75057876,😭😭😭😭😭😭😭😭😭😭😭😭
