,Similarity,EmojiSequence
0,0.9207819,😂😂😂🤪
1,0.91577995,😑😅
2,0.9145504,😂😂😂😂🤣🤣
3,0.91259986,😑🤣🤣
4,0.91020346,💃💃💃💃💃💃💃
5,0.90952075,🥲😭😭😭
6,0.90859056,☹☹☹
7,0.9063422,👌😂😂😂
8,0.9059903,💔🙄
9,0.9045442,😩😢
10,0.9014832,😂😢
11,0.901008,🙄😴
12,0.90054035,🙁😔
13,0.90052676,😭😭😭😭🤣
14,0.9000217,😅🤣😅
15,0.89963305,😂😂😂😂😂🤣
16,0.8973155,😫😂
17,0.896652,😌🤝
18,0.89623713,🤣😬
19,0.8961837,🤣🤣🤣😭😭😭
20,0.896129,😂😂😂😂🤭
21,0.8961079,😩😅
22,0.8957544,😢😞
23,0.895074,🤭🤭🤣🤣
24,0.89495,🥺😒
25,0.8944102,😂😂😂👏👏👏
26,0.8942054,😔😔💔💔
27,0.8926519,🥺🥺😂
28,0.8925791,😂😂😂😂🤣🤣🤣🤣
29,0.89209205,😌💅
30,0.8912332,😂🤣😂😂🤣
31,0.89116466,😑😒
32,0.8902179,😂😂😂😂🤣
33,0.88971424,🥺😁
34,0.889171,😂😭💔
35,0.88891935,😂😳
36,0.88881385,🤦🏻🤦🏻
37,0.88825315,🤣🤣🤣👌
38,0.88791883,🤔🤣🤣
39,0.8872325,🤣😐
40,0.8872184,🙄🙄😂
41,0.8872135,🤣😂🤣😂😂
42,0.88703537,😌👌🏻
43,0.88684916,😂😂😍
44,0.8857605,😥😂
45,0.8857484,🙄😂😂😂😂
46,0.885266,😂👍🏽
47,0.8849068,🥺🤣🤣
48,0.88490283,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
49,0.884846,🙊😂😂
50,0.88469386,🤣😅😅
51,0.88467795,🤭😌
52,0.8845885,😇😊
53,0.88222176,😢🤣
54,0.88199794,😪🥲
55,0.8814844,🙄🙂
56,0.8804935,🙁💔
57,0.87956417,💔💔😭
58,0.8795196,🖕🖕🖕🖕🖕
59,0.87929595,🥲😩
60,0.8789886,😞😭
61,0.87831736,🤣🤣🤣💔
62,0.8781491,💃🏻💃🏻💃🏻💃🏻
63,0.87808585,🤣🤣🤣🤣😂😂😂
64,0.877829,😅🙃
65,0.87782,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
66,0.8777293,😂👌🏽
67,0.8776639,🙂🙄
68,0.87702924,😅😅🤣
69,0.8763478,😒☹
70,0.87632084,😢😔
71,0.87626505,😔🫂
72,0.87573135,😦😦
73,0.8756821,😅😳
74,0.87525403,💘🥰
75,0.87508035,🤓🤓🤓🤓
76,0.87486243,😫😪
77,0.8745774,🙄😢
78,0.8745245,😭🔥🔥
79,0.8742928,😒😑
80,0.87389797,😳😅
81,0.8736857,🤣🤩
82,0.87367225,🙄🤣🤣🤣
83,0.87348914,😂😂🤷🏻‍♀
84,0.87328535,😩😩😂😂
85,0.8730799,😂😂😂🥲
86,0.8726401,😵😂
87,0.8725729,😢🥲
88,0.87246454,🤣🤣🤣😅
89,0.8720075,😆🤣🤣
90,0.8719819,😂😂💯
91,0.87135607,😭🤣🤣🤣
92,0.8711964,🙉🙉
93,0.87071764,😅😅😂😂
94,0.87070596,👌😎
95,0.8705694,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
96,0.8703147,😭😹
97,0.87018013,😁🤘
98,0.8695921,😂😂😅😅
99,0.86937875,😭🤦🏻‍♂
100,0.8692993,😏🤗
101,0.86923915,😔😥
102,0.86886835,🥴😂😂
103,0.86886746,🙄😭
104,0.86868954,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
105,0.8684001,😂😂😂😂😭😭😭
106,0.8683076,🤣🤣🤣🤦🏻‍♀
107,0.86824834,😭😓
108,0.8679671,💔😕
109,0.8676503,🤗😂😂
110,0.86754304,💔☹
111,0.8669926,😕💔
112,0.8666179,🙂🤣
113,0.8663533,🥸🥸🥸
114,0.8662609,👀🥰
115,0.86586213,😍👌🏼
116,0.865726,😭😂😂😂😂😂😂
117,0.86517847,🥺😫
118,0.8650515,💔😭😭
119,0.8648561,🤣🤣🤣🤣😂😂
120,0.86480826,😅🥴
121,0.86454386,🙄🙄🙄🙄🙄
122,0.86447585,🥺🥺🥺😭
123,0.8643053,🥳😂
124,0.8642626,💔💔😭😭
125,0.86417806,🥺🙄
126,0.86406785,😣💔
127,0.8640028,😁😁😁😁😁😁😁
128,0.86395305,😂😂😩
129,0.8639262,😩🤣🤣🤣
130,0.8638463,😂🤣😂🤣🤣
131,0.8636542,💔😩
