,Similarity,EmojiSequence
0,0.95885336,😂😂
1,0.9565493,😂😂😂
2,0.93433726,😂😂😂😂
3,0.86472446,😂😂😂😂😂😂😂😂
4,0.85497224,😂😂😂😂😂
5,0.85345155,😂😂🤣
6,0.8497036,🤣😂😂
7,0.8476804,😂🤣🤣
8,0.8435621,😂😂💔
9,0.8399891,🤣🤣😂
10,0.83782464,😂😅
11,0.8366097,😂😂😂😂😂😂😂😂😂😂😂
12,0.82912004,😂😂😂😂😂😂😂😂😂😂😂😂
13,0.8285224,😂😂😂😂😂😂😂😂😂😂
14,0.8269609,😂😂😭
15,0.8186176,😂😂😂😂😂😂😂😂😂
16,0.8156452,😂😂😂😂😂😂😂
17,0.8134804,💔😂
18,0.81227136,😹😹
19,0.81223166,😂💔
20,0.80893874,😹😹😹😹
21,0.8081082,😁😂
22,0.80576104,😂🔥
23,0.7993083,😒😒
24,0.79604983,😂😂😂💔
25,0.7897022,😅😂
26,0.77719605,😅😅😅😅
27,0.7554378,😏😏
28,0.74775046,😅😅
29,0.71158767,😄😄
30,0.7100024,😀😀😀
31,0.7094617,😁😁
32,0.69662356,😀😀
33,0.67019284,😁😁😁
