,Similarity,EmojiSequence
0,0.93295765,🤍🥰
1,0.924796,🤎🤎
2,0.9202405,💗🥺
3,0.91647804,😭❤❤
4,0.9160177,🥺❤❤
5,0.9132178,🤍🤍🤍🤍🤍
6,0.90380037,🥺💗💗
7,0.90177244,😍🤍
8,0.8985542,💕🥺
9,0.8953022,🥺💛
10,0.89393485,😍💖
11,0.8924195,🥰💙
12,0.89155716,💗💗💗💗
13,0.8903572,🥺🤍🤍
14,0.8887454,❤😭
15,0.8881522,🥺🧡
16,0.88755727,😭💜💜💜
17,0.887426,💕💕💕💕💕
18,0.8845619,😭🥺❤
19,0.883766,😭💚
20,0.88293606,💛💛💛💛💛
21,0.88213074,😭💞
22,0.8805137,💕😍
23,0.8800118,🥺💜💜
24,0.879002,😭😭😭😭😭❤
25,0.8767858,😍💛
26,0.8761079,💜😍
27,0.8745996,💖💖💖💖💖
28,0.87397456,😭💛
29,0.87382215,💙😍
30,0.87349045,💜✨
31,0.87317723,🤍🤍🤍🤍🤍🤍
32,0.87298965,💖💖💖💖
33,0.87273777,🤩♥
34,0.8726238,💙🥺
35,0.8719506,😍😍🥰
36,0.8716762,🥺🥺🥺🥺❤
37,0.8711221,💜🥺
38,0.8689949,😩😩❤
39,0.86809045,😭🤍🤍🤍
40,0.86735505,🥰🤍
41,0.865993,💜💜💜💜💜💜
42,0.8656734,🥺😭❤
43,0.86486065,💘💘💘
44,0.8645645,💗✨
45,0.8635278,💘💘💘💘
46,0.8626293,🥺🥺🥺♥
47,0.86204505,💗💗💗💗💗
48,0.8603177,😩🤍
49,0.859812,🥺🤍🤍🤍
50,0.85860425,🧡🧡🧡
51,0.8582858,🤎🤎🤎
52,0.8578933,❤🥰
53,0.8575331,😍💜
54,0.85634816,🥰💖
55,0.8562423,🥲🤍
56,0.85615945,😩💗
57,0.85602295,😭😭😭♥
58,0.85389936,😢♥
59,0.853482,🥺🥺🥺🥺🥺🥺🥺
60,0.8528296,😭😭♥
61,0.85226816,🙌🏼❤
62,0.8520453,😍💗
63,0.8517599,😚❤
64,0.8510318,🤍🥺
65,0.8501191,💜💜💜💜
66,0.84833854,🥺🖤
67,0.84754825,😭😭💜
68,0.84742886,😻😻😻😻
69,0.8472713,😭😭💗
70,0.84591806,🥺😍❤
71,0.8450669,😭🤍
72,0.84496534,🥰😍❤
73,0.8446303,😭💜
74,0.8430671,😍🥰❤
75,0.8429383,🖤🖤🖤🖤
76,0.84260404,🥺🥺🥺❤
77,0.8414066,😍💙
78,0.84106874,🦋🦋
79,0.84095275,💜😭
80,0.8403788,♥♥♥
81,0.8401363,😞❤
82,0.83998346,💛✨
83,0.83950305,💜💜💜💜💜
84,0.8377489,🤍🤍🤍🤍
85,0.8375202,💞💞💞💞
86,0.83377796,🤤❤
87,0.83337903,💕💕💕💕
88,0.83318365,😍😍😍😍😍😍😍😍
89,0.83277637,😭😭😭😭❤
90,0.8327601,🥰💜
91,0.83271873,😩♥
92,0.83239114,😭💖
93,0.83167017,😩😍
94,0.8300859,🥰🥰🥰🥰🥰🥰
95,0.82847667,😫❤
96,0.8282058,🥰🥰❤
97,0.8275943,🥰🥺
98,0.8273027,😭💘
99,0.82643926,😭🖤
100,0.8252103,❤😍
101,0.82344896,🥺❣
102,0.82339466,🥺💗
103,0.8226379,💙💙💙💙
104,0.82159984,😚😚😚
105,0.82090396,🤍🤍🤍
106,0.8208272,🥺💞
107,0.8195735,😍😭
108,0.8189446,💙💙💙💙💙
109,0.8182756,🥺💖
110,0.81793684,🥺💜
111,0.81791866,🧡🧡
112,0.8177325,💜💜💜💜💜💜💜
113,0.8174653,🫂❤
114,0.81647825,🥺🥺❤
115,0.81585,💛💛💛
116,0.8154431,😭💙
117,0.8146042,💛💛💛💛
118,0.8141548,💙💚
119,0.8135663,💓💓💓
120,0.8135313,💖💖
121,0.8129787,🤧❤
122,0.81173843,🥺💓
123,0.81127846,✨🤍
124,0.8108747,💗💗💗
125,0.8107617,🙈❤
126,0.8101453,😭😭😭❤
127,0.8100963,❤🥺
128,0.8093183,😭💗
129,0.80873334,🥺💚
130,0.8074408,😍😍♥
131,0.8060782,🫂♥
132,0.8055545,😍😍😍❤
133,0.80485266,💕💕💕
134,0.8024881,‍🔥🔥
135,0.80212283,🥺💙
136,0.8014614,😍💕
137,0.7999448,💖❤
138,0.7983701,✨🖤
139,0.7980638,✨♥
140,0.7971662,🥵❤
141,0.79518235,😍🥺
142,0.7925905,🤍✨
143,0.7924393,💓💓
144,0.7893376,💛💛
145,0.78900355,😍😍😍♥
146,0.7889824,💖💖💖
147,0.788589,😭😍
148,0.78763354,🤍🕊
149,0.7857811,😭🥰
150,0.78563416,😚😚
151,0.78470707,💕❤
152,0.78389436,🥺💘
153,0.7838433,💘💘
154,0.7824932,🥺🤏🏻
155,0.7811521,💞💞
156,0.7798666,😭💓
157,0.77901864,‍💋‍👩
158,0.77811235,🤭❤
159,0.7765916,🥺🥺🥺🥺🥺
160,0.77518183,😭💕
161,0.7740693,🥰🥰🥰🥰🥰
162,0.7716324,😭♥
163,0.7712078,😭😭❤
164,0.7705736,😍🥳
165,0.7692846,🦋❤
166,0.7683625,💞💞💞
167,0.76713836,🤩❤
168,0.76701283,🥰💕
169,0.7661454,😳❤
170,0.76584035,🤗♥
171,0.76407397,🥺💕
172,0.7638614,🙏🥺
173,0.7625639,😩❤
174,0.7605864,😔♥
175,0.7579834,🥰✨
176,0.7577989,🥺🥺♥
177,0.75729114,🥲♥
178,0.7558589,🙏🏻🤍
179,0.75567687,🎶♥
180,0.75350004,🤍🤍
181,0.7531574,😔❤
182,0.7469831,🥺♥
183,0.74339986,💕💕
184,0.7420893,🖤🖤🖤
185,0.741705,😍💚
186,0.7401682,💗💗
187,0.7391495,🖤🖤
188,0.7391261,🤩🤩🤩🤩🤩
189,0.7322761,😍♥
190,0.7317548,🤣❤
191,0.72809255,🥺🤍
192,0.7264613,💋❤
193,0.72591746,❤❤❤❤
194,0.7258641,👍🏻❤
195,0.72480094,🥲❤
196,0.72340953,🥰❤
197,0.72309124,😢❤
198,0.72238004,💗💗💗💗💗💗💗
199,0.7192606,💜💜💜
200,0.7170188,‍💋‍👨
201,0.7166004,🖤✨
202,0.7157185,💜💜
203,0.70992905,🥺🙏🏻
204,0.7093936,🥺✨
205,0.7075249,💙💙💙
206,0.6983426,🤍🖤
207,0.69782174,🔥♥
208,0.6948581,💙💙
209,0.69166714,😌❤
210,0.6903961,😭❤
211,0.68942523,🥰♥
212,0.68865466,🥺❤
213,0.68662167,‍💋‍👩👩‍❤
214,0.6864864,😘❤
215,0.6852723,💚💚💚
216,0.6840372,✨❤
217,0.6825391,💚❤
218,0.6798068,🤲🏻❤
219,0.6787565,🖤🤍
220,0.6785748,😭✨
221,0.67779785,💔❤
222,0.6687912,❤❤❤❤❤❤
223,0.6672138,💚💚
224,0.66251194,🛐🛐🛐
225,0.6621119,😂😂❤
226,0.66175723,‍🩹❤
227,0.65918183,💚💚💚💚💚
228,0.65058637,🥺🤲
229,0.64006066,😂♥
230,0.6369432,🤍❤
231,0.6330047,😸😸🐾💙🐾
232,0.6310887,😂❤
233,0.62700504,🥳❤
234,0.61959136,👩‍❤
235,0.6118362,😁❤
236,0.5864775,♥♥
237,0.56518054,🖤❤
238,0.55839396,✨✨✨
239,0.5514914,🦋🦋🦋
240,0.5275769,‍🔥❤
241,0.51830196,✨✨
