,Similarity,EmojiSequence
0,0.8839611,😍😭
1,0.8800075,😍😍😍😍😍
2,0.8633797,🥺🥰
3,0.85951626,😍🤤
4,0.8588894,😍😍😍😍😍😍
5,0.85348976,😭😍
6,0.8529081,😻😻😻😻
7,0.84915227,🤤😍
8,0.8487297,🤩🤩🤩🤩
9,0.8440734,😍😍😍😍
10,0.84150755,😍😍😍😍😍😍😍
11,0.8395113,😍🤩
12,0.8361495,😍🥺
13,0.8305644,🥰😍
14,0.8289226,🥺😍
15,0.8214655,🤩🤩🤩🤩🤩
16,0.81712735,😍🥰
17,0.8101619,🔥😍
18,0.80965555,🤤🤤🤤🤤
19,0.7958733,🥵🥵🥵
20,0.7830275,🤩😍
21,0.7749734,😻😻
22,0.7694061,🛐🛐
23,0.7693862,🤩🤩🤩
24,0.7631277,😍🔥
25,0.7606527,😻😻😻
26,0.7596518,🤩🔥
27,0.7578975,🥵🥵
28,0.7514744,🤤🤤🤤
29,0.74912286,🤤🤤
30,0.7389823,🕷🕸
31,0.72190446,🕸🕷
32,0.7071687,🛐🛐🛐
33,0.6978541,🤩🤩
34,0.6214084,👌👌👌
35,0.61563134,👌👌
