,Similarity,EmojiSequence
0,0.9389564,😂😂
1,0.93836844,😂😂😂
2,0.9273833,😂😂😂😂
3,0.8734095,😂😂😂😭
4,0.872152,😭😂😂
5,0.86863077,😂😂😂😂😂😂😂😂
6,0.8631499,😂😂😂😂😂😂😂😂😂😂😂
7,0.8620584,😂😂😭
8,0.860016,😂😂💔
9,0.85992676,😂😂😂😂😂😂😂😂😂😂😂😂
10,0.85821754,😂😂😂😂😂
11,0.85696507,😂😂🤣
12,0.85186255,🤣😂😂
13,0.85013235,😂😂😂😂😂😂😂😂😂😂
14,0.8474891,🤣🤣😂
15,0.8432361,😂😂😂😂😂😂😂😂😂
16,0.83740336,😹😹😹😹
17,0.8368275,😂🤣🤣
18,0.8318678,😂😂🤣🤣
19,0.83055496,😂😂😂💔
20,0.8270016,😂😂😂😂😂😂😂
21,0.8242591,😹😹
22,0.82250655,😂💔
23,0.821236,💔😂
24,0.8207184,😂😅
25,0.81505203,😂🔥
26,0.7935897,😒😒
27,0.78018284,😹😹😹
28,0.77352506,😁😂
29,0.7717655,😅😂
30,0.76819307,🚮🚮
31,0.75619423,😅😅😅😅
