,Similarity,EmojiSequence
0,0.8429932,🥳👏
1,0.84038377,💙⚽
2,0.8352876,🎊🎊🎊
3,0.8248844,🥳🔥
4,0.8242358,👏🏽👏🏽👏🏽👏🏽
5,0.8177825,🔥🤩
6,0.81490856,🤩🔥
7,0.81445026,🏆🏆
8,0.8095175,💪💪💪💪💪
9,0.8092078,👏🏼👏🏼👏🏼👏🏼
10,0.8075624,💪💪💪💪
11,0.79929876,👏🏾👏🏾👏🏾
12,0.7962271,👏🏻👏🏻👏🏻👏🏻👏🏻
13,0.79540837,🏆🥇
14,0.7941354,👏🏾👏🏾
15,0.79404867,👏👏👏👏👏👏👏👏
16,0.79321575,😍👏
17,0.7889533,👏👏👏👏👏👏
18,0.7866353,👏🏻👏🏻👏🏻👏🏻
19,0.7862187,🎉🎉🎉🎉
20,0.7824,🏆🏆🏆🏆
21,0.7811595,💥💥💥💥💥
22,0.77985334,👏🏽👏🏽
23,0.7778939,💪🏼💪🏼💪🏼
24,0.7769929,👑👑
25,0.77692103,💪🏼💪🏼
26,0.7737868,👑❤
27,0.7710681,🙌🏻🙌🏻
28,0.7698459,👏👏👏👏👏👏👏
29,0.7697571,👏❤
30,0.7671515,🔥🔥❤
31,0.764875,🥇🏆
32,0.76078856,👏🏼👏🏼
33,0.760563,💯🔥
34,0.76008093,👏🏽👏🏽👏🏽
35,0.75914943,🙌🏻🙌🏻🙌🏻
36,0.75833964,👏🏼👏🏼👏🏼
37,0.7577075,🙌🏾🙌🏾
38,0.7552513,🇨🇱🇨🇱🇨🇱🇨🇱
39,0.75335205,🏆⚽
40,0.75154376,🔥💪
41,0.75107706,🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿
42,0.74404466,💪🔥
43,0.7417395,🎉🎉🎉🎉🎉
44,0.73970044,🔥🚀🌕
45,0.7382794,🤙🤙
46,0.73823243,💙🖤
47,0.7372208,🔥🔥🔥❤
48,0.736619,⚡⚡
49,0.732623,🇩🇿🇩🇿❤
50,0.73204577,💪🏻💪🏻
51,0.7296939,🇩🇿🇩🇿🇩🇿
52,0.7259773,🔥🔥🔥🔥🔥🔥🔥🔥
53,0.725667,💚🤍
54,0.72433114,💥💥💥💥
55,0.7223804,👏👏👏👏👏
56,0.72049046,🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿
57,0.7201272,💪🏻💪🏻💪🏻
58,0.71902084,💯💯💯💯
59,0.71889997,💪❤
60,0.71791494,🇩🇿🇩🇿🇩🇿🇩🇿
61,0.715885,😎🔥
62,0.7125964,🇹🇳🇹🇳🇹🇳
63,0.71231383,👑👑👑
64,0.7120397,💙💛💙
65,0.7117275,🥳🥳🥳🥳🥳
66,0.7106627,🔥⚽
67,0.710345,🔥🚀
68,0.7094551,💙🧡
69,0.7090234,⚽⚽
70,0.7087013,🔥🔥🔥🔥🔥🔥🔥
71,0.70624435,💃💃
72,0.7059927,🔥🔥🔥🔥🔥🔥🔥🔥🔥
73,0.7052654,🇩🇿🏆
74,0.7047226,🦍🚀
75,0.7046401,💯💯💯
76,0.70288146,💥🔥
77,0.7009785,🔥😎
78,0.69834936,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
79,0.6964654,🙌🙌🙌
80,0.6951957,🏆🏆🏆
81,0.6950327,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
82,0.6916411,🔵🔴
83,0.69041395,🇩🇿🇩🇿
84,0.68675303,🔴🔵
85,0.68666506,👇🏻👇🏻
86,0.68631303,🚀🔥
87,0.68616927,🇨🇱🇨🇱🇨🇱
88,0.6855343,🤑🤑
89,0.6849574,👍👍👍👍
90,0.6846641,🚀🚀🚀🚀🚀🚀
91,0.683596,🔥❤
92,0.6806615,🎊🎉
93,0.6798365,💛🖤
94,0.6776705,🇩🇿🔥
95,0.6742524,🚀🚀🚀🚀
96,0.6735926,💪✌
97,0.6728268,🤑🤑🤑
98,0.672511,⚪⚫
99,0.6715901,🇩🇿💪
100,0.67154396,🖤💛
101,0.6704227,🇹🇳🇩🇿
102,0.67004365,💯💯
103,0.66798234,🇨🇱🇨🇱
104,0.6656915,👊👊
105,0.6646903,🌳🌳🌳🌳🌳
106,0.66458535,💃💃💃
107,0.6640283,👍👏
108,0.66348684,🕷🕸
109,0.6633774,🤜🤛
110,0.66263855,💯❤
111,0.6626014,💙🤍
112,0.6613988,⚽⚽⚽
113,0.6579789,🇩🇿🇹🇳
114,0.6576084,🎉🎊
115,0.65676177,🇩🇿❤
116,0.65673465,🔴⚫
117,0.6536287,🚀🚀
118,0.6535163,🇨🇱❤
119,0.65232116,🔥💯
120,0.6472559,🕸🕷
121,0.6471146,🎉🎉
122,0.6469095,💪💪💪
123,0.6452861,💪💪
124,0.64452684,🥳🥳🥳🥳
125,0.643988,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
126,0.6434004,🔥🔥🔥🔥🔥🔥
127,0.643279,🔥💥
128,0.6428551,💯💯💯💯💯
129,0.6374929,😎👍
130,0.635336,🚀🚀🚀🚀🚀🚀🚀
131,0.6347534,💥💥
132,0.6321945,🗣🗣
133,0.63187504,💙💛
134,0.6312209,🌳❤
135,0.63117266,‍🌈🏳
136,0.62820554,🇨🇱✌
137,0.62636316,💛💙
138,0.62454814,🔴🔴
139,0.6237687,🎉🥳
140,0.6227752,🌳🌳🌳
141,0.62081087,🚀🚀🚀🚀🚀
142,0.6201413,👌👌👌
143,0.60956514,🎉🎉🎉
144,0.6088774,🌳🌳
145,0.6031461,🔥✅
146,0.6013135,🚀🚀🚀
147,0.5992763,💰💰💰
148,0.5990759,👌👌
149,0.5969666,🚨🚨🚨
150,0.59607327,🔵⚪
151,0.5958722,🔴⚪
152,0.5957802,✅✅✅
153,0.58257514,🥳🥳
154,0.58074313,🌳🌳🌳🌳
155,0.5762651,💙❤
156,0.5737233,💛❤
157,0.57346976,✅✅
158,0.5720666,🥳🥳🥳
159,0.5568301,🙏🙏🙏🙏
160,0.55302805,💚💛❤
161,0.54697716,💥💥💥
162,0.5271509,🚨🚨
163,0.44869158,👇👇
