,Similarity,EmojiSequence
0,0.8957765,😔😔😔😔
1,0.8892987,😫😫😫😫
2,0.8856638,😭😔
3,0.8740945,🥲🥲🥲🥲🥲
4,0.8723858,😭😭😭💔
5,0.87060326,😩😩😩😩😩
6,0.86984766,🥲🥲🥲🥲
7,0.8689485,😩😭
8,0.8673698,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
9,0.86470985,😩😩😩😩😩😩
10,0.8594062,😭🥲
11,0.8540729,😭🤣🤣
12,0.85263294,🥺😩
13,0.85183525,🤧🤧🤧🤧
14,0.8506447,😞😞😞😞
15,0.8493468,😭😭💔
16,0.8484758,🤣🤣😭
17,0.8480391,😂😭😭😭
18,0.8470909,😰😰😰
19,0.84612536,😩😩😩😩
20,0.8458576,💔💔💔💔💔
21,0.8452158,😩😩
22,0.84499645,😣😣
23,0.8443414,😖😖
24,0.8417824,🤣😭
25,0.8410374,😭😭😭😭😭😭😭😭😭😭😭😭😭😭
26,0.840662,😮‍💨😮‍💨
27,0.8403871,😮‍💨😮‍💨😮‍💨
28,0.83626586,😭😭😭😭😭😭😭😭😭😭😭😭😭
29,0.83608603,😭😭🤣
30,0.83514094,🤨🤨🤨🤨
31,0.83494455,🤨🤨🤨
32,0.83309394,🥲🤣
33,0.8320284,😭😭😭😂
34,0.83180946,😞💔
35,0.8316947,🥴🥴🥴🥴
36,0.8316686,😔😭
37,0.8307731,😣😣😣
38,0.8307714,😩😩😩
39,0.83068734,🤯🤯🤯🤯
40,0.83047193,😭😭🤣🤣
41,0.8302368,😭😭💀
42,0.82998013,😭😩
43,0.8277679,💀😭
44,0.82712233,😖😖😖
45,0.82486683,😫😫😫
46,0.82403815,😫😫
47,0.82305574,😔😔😔😔😔
48,0.8214693,😵😵
49,0.82011473,😭💀
50,0.8179287,🥲😭
51,0.8175981,🤣🤣🤣😭
52,0.8168826,🥺🥺🥺🥺🥺🥺
53,0.81406164,😂😭😭
54,0.81377137,💀💀💀💀💀
55,0.8124515,🥴🥴🥴
56,0.808877,😭😭😂
57,0.8060429,😭😭😭😭😭😭😭😭😭😭
58,0.8044067,😭😂😂😂
59,0.80418503,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
60,0.8023124,😩😂
61,0.80044353,😭😭😭😭😭😭😭😭😭
62,0.7991755,😿😿
63,0.79848874,😭🤣
64,0.7984252,💀💀💀💀
65,0.7972418,😒😒😒
66,0.79715204,😂😂😂😭
67,0.79640317,🥺😔
68,0.7925544,😞😞😞
69,0.7917512,😭😭😭😭😭😭😭😭😭😭😭
70,0.79033387,🤨🤨
71,0.7894131,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
72,0.7893375,🥱🥱
73,0.7875674,😵‍💫😵‍💫
74,0.7868822,🙃🙃
75,0.786726,😂😭
76,0.7858801,💀💀
77,0.78525937,💔🥺
78,0.7833939,😠😠😠
79,0.7831101,🤧😭
80,0.7821958,😞😞
81,0.7809479,🥴🥴
82,0.7806107,😤😤
83,0.7803432,😪😪😪
84,0.7794546,😭😂
85,0.779273,💔💔💔💔
86,0.7779513,😢😢😢😢
87,0.777571,🥴😭
88,0.7774849,😭😭😭😭😭😭😭😭😭😭😭😭
89,0.7752091,😔😔
90,0.77518034,😔😔😔
91,0.77481997,😠😠
92,0.77301323,😅🤣
93,0.77245176,🤬🤬🤬🤬🤬
94,0.7720182,😭😭😂😂
95,0.77196014,😓😓😓
96,0.77182686,😑😑😑
97,0.77063084,🤢🤢
98,0.7701353,🤧🤧
99,0.76901525,🥺😂
100,0.7677696,😭😂😂
101,0.7675248,😮😮😮
102,0.7644706,😭😢
103,0.7642058,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
104,0.7607796,😭🥺
105,0.7607339,🥵🥵🥵🥵
106,0.75939894,💀😂
107,0.7574533,😭🔥
