,Similarity,EmojiSequence
0,0.8929211,🥺🥺❤
1,0.8821688,😞❤
2,0.8775362,🥺🥺🥺❤
3,0.8656887,🥲🤍
4,0.86165094,😫❤
5,0.86110723,😭😭😭❤
6,0.84821796,🥺💛
7,0.8476038,😭😭😭😭❤
8,0.8461947,😭😭❤
9,0.84253085,😩❤
10,0.8390628,🤤❤
11,0.8390204,🥺♥
12,0.8367383,🤧❤
13,0.8353158,🙈❤
14,0.83525574,😭♥
15,0.8299396,🥺🖤
16,0.829363,😔❤
17,0.82389647,😍😍😍😍😍😍😍😍
18,0.8228386,😍😍♥
19,0.8220643,😭🤍
20,0.8203243,🥲❤
21,0.8192482,❤🥺
22,0.81632984,🤍🤍🤍
23,0.8114228,🤣❤
24,0.80872583,🥺🥺🥺🥺🥺
25,0.8068232,😍😍❤
26,0.80639994,🥺❤
27,0.80604875,🥺🥺♥
28,0.8014556,😭💖
29,0.78941095,🥺💗
30,0.7875596,🥺💙
31,0.785756,😭❤
32,0.78340304,😍♥
33,0.77479464,😭💗
34,0.76418805,🥰❤
35,0.7620876,‍🩹❤
36,0.758306,🥺🥺🥺🥺
37,0.75681317,🥺💘
38,0.74964815,🥰♥
39,0.74288356,😂😂❤
40,0.74280435,😂♥
41,0.73602813,😂❤
42,0.7348698,🥺💕
43,0.7327409,💔❤
44,0.72310245,🥺🤍
45,0.7087941,😍❤
46,0.67576927,👩‍❤
47,0.6714576,😁❤
48,0.64323056,🥳❤
49,0.5932551,‍🔥❤
