,Similarity,EmojiSequence
0,0.8803823,😍😍😍😍😍
1,0.85998553,🥺🥰
2,0.8558798,😍😍😍😍😍😍
3,0.845994,🤤😍
4,0.8450227,🥰😍
5,0.8440603,😍😍😍😍
6,0.8432809,😍🤤
7,0.8428971,🤩🤩🤩🤩
8,0.8423791,😍🥰
9,0.8351593,😍😍😍😍😍😍😍
10,0.82854056,😍🤩
11,0.8278305,🥰🥰🥰🥰
12,0.8220304,😍😘
13,0.8166757,🥺😍
14,0.80301666,❤❤❤❤❤
15,0.8024417,😍😍❤
16,0.7950025,🥰🥰🥰
17,0.7949699,🤩😍
18,0.78579366,🔥😍
19,0.7840503,🥰🥰
20,0.77886695,😻😻
21,0.77763295,😻😻😻
22,0.761201,😍🔥
23,0.75889784,🤩🤩🤩
24,0.7509556,🤤🤤🤤
25,0.74761856,🤤🤤
26,0.730055,❤❤❤
27,0.6908595,😘😘😘
28,0.68582284,🤩🤩
29,0.6794069,😘😘
30,0.6788937,😋😋😋
31,0.67422163,😋😋
32,0.6710769,😍❤
