,Similarity,EmojiSequence
0,0.9015492,😔😔😔😔
1,0.8968422,😭😔
2,0.89351344,🥲🥲🥲🥲
3,0.8869342,😭
4,0.8854485,😭🥲
5,0.88175285,😔😭
6,0.8699168,😭😭💔
7,0.869026,🥲🥲🥲🥲🥲
8,0.8640194,😫😫😫😫
9,0.8630438,😩😭
10,0.8622106,😩😩😩😩😩😩
11,0.8619595,😭😭😭💔💔💔
12,0.8619229,🥲😭
13,0.86098814,😭😞
14,0.86010253,🥲🥺
15,0.85981196,😭😭💔💔
16,0.85861194,🥺😭
17,0.8582938,😭😭
18,0.8568484,😩😩😩😩😩
19,0.85648733,💔💔💔💔💔
20,0.85515803,🥺😩
21,0.8537977,😭😭😭💔
22,0.853544,😵😵
23,0.8514161,😩
24,0.85071915,😰😰😰
25,0.84982866,🥺🥺🥺🥺🥺🥺
26,0.8496322,😭😭😭
27,0.8482574,🥲🤣
28,0.84792465,😞😞😞😞
29,0.8479006,😖😖
30,0.84711814,😔🥺
31,0.84333324,😩😩
32,0.8426177,😮‍💨😮‍💨😮‍💨
33,0.8423807,😔😔😔😔😔
34,0.83996904,🥺
35,0.8387953,😣😣😣
36,0.8378584,🥺😞
37,0.8363825,😞💔
38,0.8358015,😞😞😞
39,0.83546823,🤧🤧🤧🤧
40,0.83416516,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
41,0.83334875,😭😩
42,0.83153194,😫😫
43,0.83050525,🙁🙁
44,0.8284274,😩😩😩😩
45,0.82808226,🥺😔
46,0.82463956,😿😿
47,0.8240545,😰😰
48,0.82243013,💔💔💔💔
49,0.8194399,😣😣
50,0.81930244,😫😫😫
51,0.81900835,😔😔
52,0.81700647,😫😭
53,0.81645674,😮‍💨😮‍💨
54,0.81561136,💔🥺
55,0.8152211,😩😩😩
56,0.8128419,😔
57,0.8116477,💔💔💔💔💔💔
58,0.8104209,😢😭
59,0.80964124,😔😔😔
60,0.8069853,🥲
61,0.80692655,😭😢
62,0.8059909,😪😪😪
63,0.8059622,😭😭😭😭😭😭😭
64,0.8057042,😭🥺
65,0.80528814,😭😭😭😭😭😭😭😭😭😭😭😭😭😭
66,0.80386335,😞😞
67,0.7984917,😭😭😭😭😭😭😭😭😭😭😭😭😭
68,0.7977734,💔😭
69,0.79676515,😓😓😓
70,0.79597247,😵‍💫😵‍💫
71,0.7939067,🥺🥺🥺🥺🥺
72,0.79280573,😩😂
73,0.79080075,😭😍
74,0.78818333,🤧😭
75,0.7875184,🤧🤧
76,0.7855575,😭😭😭😭😭😭😭😭😭😭😭
77,0.78472376,😭😭😭😭😭😭😭😭
78,0.78373516,🥲🥲🥲
79,0.782798,🥺🤧
80,0.78140104,😔💔
81,0.78133976,🥺😂
82,0.78040636,😭😭😭😭😭😭😭😭😭😭
83,0.7791114,😭😭😭😭😭😭😭😭😭
84,0.77769166,🤧🥺
85,0.7772043,😭🤧
86,0.7771398,😓😓
87,0.77704024,😢😢😢😢
88,0.77527136,🤧🤧🤧
89,0.77397263,🥺🥺🥺🥺
90,0.7700082,🥺😢
91,0.7687795,😢😢😢
92,0.7669667,😭😭😭😭😭😭
93,0.7662486,💀😭
94,0.76623636,😭😭😭😭
95,0.7628378,😫
96,0.76092446,😭💔
97,0.75625676,🥺🥲
98,0.7559168,😢😢
99,0.7518435,😭😭😭😭😭
100,0.75101554,🥲🥲
101,0.74544674,😢💔
102,0.7440499,🥺💔
103,0.7431643,😪😪
104,0.74210525,💔💔💔
105,0.7400083,🥺🥺🥺
106,0.73646307,😣
107,0.73390585,😿
108,0.73356926,😥😥
109,0.7333952,😮‍💨
110,0.7333598,🤕
111,0.73214287,😭🤍
112,0.73059833,👁👄👁
113,0.72879833,💔😔
114,0.72823346,😭🙏🏻
115,0.7277896,😭😭😭😭😭😭😭😭😭😭😭😭
116,0.7247712,😭👍🏻
117,0.7242334,🥲😂
118,0.71958077,😞
119,0.7167355,🙁
120,0.7163665,😪
121,0.7160077,😭🔥
122,0.71504796,😥💔
123,0.71449643,🧍🏽‍♀
124,0.7111924,🤧
125,0.709972,🤒
126,0.70637274,😭🙏
127,0.702405,🥲💔
128,0.7023194,😥😥😥
129,0.7022352,😭👍
130,0.6986425,😕😕
131,0.6975484,🥺🥺
132,0.69731045,😓
133,0.6965014,💀💀💀
134,0.69480276,🤏🏻
135,0.69272065,🥵🥵🥵
136,0.6856698,🥵🥵
137,0.6849917,🤯🤯🤯
138,0.6802045,😖
139,0.675075,💔😢
140,0.66763747,💔💔
141,0.64545786,😰
142,0.6338022,🗿
143,0.6235566,😵
144,0.6188271,😥
145,0.61645436,🥵
146,0.6135464,😭🤲🏻
147,0.6091577,💔
148,0.6048661,👉👈
149,0.6007092,😢
150,0.562576,🥶🥶
151,0.5568458,🙇🏻‍♀
152,0.52307945,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
153,0.49834192,☹
