,Similarity,EmojiSequence
0,0.82206297,👏👍
1,0.7989615,💪🏻💪🏻
2,0.79758686,👏🏽👏🏽
3,0.7947203,👏🏻👏🏻
4,0.7943852,👍👍👍👍
5,0.7896781,👏🏼👏🏼👏🏼
6,0.7845693,💪🏽
7,0.7845022,😎👍
8,0.78250426,👏🏼👏🏼
9,0.7824799,👏🏻👏🏻👏🏻👏🏻
10,0.7785332,👏🏽👏🏽👏🏽
11,0.77597785,👍🏿
12,0.7742492,👏🏻👏🏻👏🏻
13,0.7734925,👍🏾
14,0.7733128,👏👏👏👏👏👏
15,0.7726259,👍👏
16,0.7651408,👍🏽
17,0.76071095,👏👏👏👏👏
18,0.75867355,💪🏻💪🏻💪🏻
19,0.7583293,👏👏👏👏
20,0.75764906,👏🏻
21,0.7562554,💪💪💪💪
22,0.7539095,👏👏
23,0.75074244,🤙
24,0.75026155,👊🏻
25,0.74796975,👊🏼
26,0.74485564,👍🏼
27,0.7445792,💪💪
28,0.7443491,👏🏼
29,0.74364245,👏🏾
30,0.73894024,👏🏽
31,0.73810214,💪🏼
32,0.7367388,👍💪
33,0.7297133,🙌🏼
34,0.7289275,💪🏻
35,0.72616255,👍🏻👍🏻
36,0.7186889,👌🏽
37,0.71785855,👍
38,0.7175425,💪💪💪
39,0.71091175,👌🏼
40,0.6994301,👌👌👌
41,0.69332504,💪🏾
42,0.69289005,😁👍
43,0.6874807,✌🏼
44,0.68655056,😎
45,0.681713,😀👍
46,0.6795659,🤜🤛
47,0.6752753,😉👍
48,0.67252755,👏👏👏
49,0.672473,👌👌
50,0.6674183,😊😊😊
51,0.6628407,👍🏻
52,0.66229224,🎉🎉
53,0.66079736,😊👍
54,0.65946305,👍👍
55,0.6539663,🥳🥳
56,0.6535392,👊
57,0.649346,👌🏻
58,0.6483959,🤙🏻
59,0.645042,🙂👍
60,0.6445347,😉
61,0.63694537,🤘
62,0.6350017,👏
63,0.63459474,🤠
64,0.63400495,💪
65,0.62490356,😎😎
66,0.62467986,👍👍👍
67,0.62098235,💛🖤
68,0.6206082,✌🏻
69,0.6180726,🚀🚀
70,0.6082669,🥳🥳🥳
71,0.601089,😊😊
72,0.6001011,✅✅✅
73,0.59437084,👌
74,0.5935538,✅✅
75,0.59277374,🤓
76,0.58834326,🤩
77,0.58435893,🚀🚀🚀
78,0.58427006,🎉🎉🎉
79,0.5733032,🤑
80,0.5558081,🍻
81,0.555074,🤞
82,0.5487518,🥳
83,0.5425037,✊
84,0.52453697,🎉
85,0.50105613,🙂
86,0.48895043,🍺
87,0.48075646,🔝
88,0.47553638,😈
89,0.45781755,🤝
90,0.4508698,🇨🇱
91,0.42160678,✌
