,Similarity,EmojiSequence
0,0.86296093,🙄
1,0.8619103,🤔
2,0.85210764,🤔😅
3,0.8320494,😳😂
4,0.79918134,🤔🤣
5,0.7964626,🤷🏻
6,0.795162,🤨
7,0.79333276,😧
8,0.7845269,🤔😂
9,0.7654846,🥸
10,0.7636937,🤔🤔🤔
11,0.7633687,😳
12,0.7583546,😬
13,0.7534641,🤷
14,0.7465944,🧐
15,0.74068296,😳😳😳
16,0.72149956,😳😳
17,0.71095586,🤔🤔
18,0.70960283,😯
19,0.68637985,😲
20,0.6743895,🤦
21,0.6737352,👀
22,0.6678934,😱😱😱
23,0.66540253,🙈
24,0.66269934,👀👀
25,0.649564,😮
26,0.6181761,😠
27,0.6038852,🤷‍♀
28,0.5953388,🤷🏻‍♀
29,0.59477663,🤷🏼‍♀
30,0.5851811,🤷🏻‍♂
31,0.58259606,😱
32,0.57343566,🤷🏼‍♂
33,0.56366813,🤷‍♂
34,0.5208602,❓
