,Similarity,EmojiSequence
0,0.8730215,❤
1,0.8623333,🥺🥺❤
2,0.85830563,🥺🥺🥺❤
3,0.85119677,😭😭😭❤
4,0.8356082,😍😍♥
5,0.8227946,😍😍❤
6,0.8216097,💖❤
7,0.81623983,😔❤
8,0.81459534,😩❤
9,0.8145735,😭😭❤
10,0.8104271,🥺♥
11,0.80469656,🥲❤
12,0.8031166,‍🩹❤
13,0.79310745,😍♥
14,0.79246527,🥰❤
15,0.7852466,🥺❤
16,0.7682565,💔❤
17,0.7678917,😭❤
18,0.7489279,😘❤
19,0.7476434,‍🩹
20,0.7425175,😂❤
21,0.7415514,✨❤
22,0.73587537,😍❤
23,0.70822614,🔥❤
24,0.6988526,👩‍❤
25,0.69739276,❤❤❤
26,0.67482543,🥳❤
27,0.67409873,🙏🏻❤
28,0.6587941,🖤❤
29,0.655005,🌹❤
30,0.6469898,‍🔥❤
31,0.6227289,🍀❤
32,0.59355026,💛❤
33,0.58883053,‍🔥
34,0.52713907,❤❤
35,0.40468472,❣
