,Similarity,EmojiSequence
0,0.86490846,🤔😅
1,0.86445993,🤢🤢🤢🤢
2,0.85090655,🙄
3,0.845981,🥴🥴🥴🥴🥴
4,0.8440784,😂🤡
5,0.84231794,🤔😳
6,0.83939976,😳😂
7,0.8375149,🙄😅
8,0.8350921,😕😕😕
9,0.83258355,🤔🤨
10,0.83238673,🤨🤔
11,0.8297309,🤣🥲
12,0.82144463,😶😶😶
13,0.8205062,🤌🏻🤌🏻
14,0.8193489,🤦🏼
15,0.81772864,😂🙃
16,0.81632763,🥴🤣
17,0.81527543,🤨🤨🤨
18,0.81434447,🤮🤢
19,0.81375015,🥴🥴
20,0.81212395,😖😖😖
21,0.81032777,😅🥲
22,0.8087553,😮😮
23,0.80694234,🖕🏻
24,0.80654967,🤨🤨🤨🤨
25,0.80223376,🤢🤮
26,0.8013788,🥴🥴🥴
27,0.7996483,😒🙄
28,0.7995112,😍🤣
29,0.7978259,🤡🤡🤡🤡🤡
30,0.7969835,🙄😒
31,0.7956666,🥴😅
32,0.7955084,😅🤣😂
33,0.795411,🙄🤣
34,0.79367906,🖕🏽
35,0.793087,🤦🏻
36,0.79305255,🤦🤦🤦🤦
37,0.79210275,🤦😂
38,0.79163975,🤣🤡
39,0.79100305,🤢🤢
40,0.79077786,😶😶
41,0.790418,🤮🤮🤮🤮🤮
42,0.78951895,🙄🙄🙄🙄
43,0.7889137,😐😐😐
44,0.7886673,😬😅
45,0.78653455,🙃🙃
46,0.7860546,😧
47,0.7858398,🤷🤷
48,0.78535163,🤣🤦
49,0.78513956,🤔😏
50,0.7847419,🤧💔
51,0.7841463,🤢🤢🤢
52,0.7825679,🤦🤦🤦
53,0.78207606,🖕🖕🖕
54,0.779966,😂🙈
55,0.77807844,🤌🏼
56,0.7753158,😬😬
57,0.77417433,🤭🤣
58,0.77383137,😵‍💫😵‍💫😵‍💫
59,0.77313286,🤷🏻
60,0.772503,😂🤦‍♀
61,0.772422,🧐🤔
62,0.7700193,🤣🙈
63,0.7686978,🥲😅
64,0.76792765,🥴😂
65,0.7676686,🤔🤣
66,0.76727545,😑😑😑
67,0.7658526,🤮🤮
68,0.76513565,🙈🤣
69,0.7648984,🤡🤡🤡🤡
70,0.7640431,😮😮😮
71,0.7625542,😬😂
72,0.7622033,😳🤔
73,0.7617812,😡🤬
74,0.7610053,😲😲
75,0.7573756,👉🏼👈🏼
76,0.7562281,👀😂
77,0.75393295,🙄🙄🙄
78,0.7535523,🥴
79,0.7532557,😅🙈
80,0.7507694,🤦🏽
81,0.74918807,🖕🏼
82,0.7489143,😬😬😬
83,0.7471429,🤣🤭
84,0.74444973,🤦🏾
85,0.74352384,🤔🤔🤔🤔
86,0.7423985,🙃🙃🙃
87,0.7421207,😡😡😡😡😡
88,0.73749745,🤥
89,0.7369014,🤬🤬🤬🤬
90,0.7352817,🤔😂
91,0.7350661,🤨
92,0.73481214,🤬🤬
93,0.7346649,🤪🤪🤪
94,0.73409474,🤔😁
95,0.7340287,💩💩💩
96,0.7339225,🙄🙄
97,0.73311484,🤏🏼
98,0.73260665,🤣🤦‍♂
99,0.7323116,🧐🧐
100,0.73078287,😠😠
101,0.7297562,🧐🧐🧐
102,0.729343,🥸
103,0.72833353,🤮🤮🤮
104,0.72719544,😳😳😳😳
105,0.72594416,😂🤌🏻
106,0.72476673,🙂👍🏻
107,0.7245765,😂🤦🏻‍♀
108,0.7239194,🤐
109,0.72300535,😦
110,0.72123766,😱😱😱😱
111,0.721212,🤡🤡🤡
112,0.71936953,😡😡😡😡
113,0.7180499,😤😤😤
114,0.717211,😵‍💫
115,0.7171432,🤦🤦
116,0.7166362,🤮🤮🤮🤮
117,0.7165182,😂🤦🏻‍♂
118,0.7152473,😤😤
119,0.712991,💀💀💀💀
120,0.71279275,😟
121,0.7121383,🤡🤡
122,0.71094656,👎🏼
123,0.70998406,💀💀
124,0.7079387,🥱🥱🥱
125,0.70458186,😬
126,0.70367855,🙃
127,0.7022743,😡😡
128,0.70179164,💩💩
129,0.7007133,🤯🤯
130,0.7002163,🤬🤬🤬
131,0.69915307,🤷🏼
132,0.69583565,😳😳😳
133,0.69420946,😒
134,0.69259757,🙈😅
135,0.6903193,😾
136,0.68987006,🤦
137,0.6896238,🙈😂
138,0.6888941,😡😡😡
139,0.68875027,😂🤦‍♂
140,0.6879049,🤷
141,0.6876172,🤌🏻
142,0.6871647,🤔
143,0.6850419,😱😱
144,0.67693603,😑
145,0.6768722,🤔🤔🤔
146,0.67680573,🤬
147,0.6763748,🤏
148,0.67457414,👺
149,0.67428124,🙉
150,0.67138827,😳😳
151,0.6706599,😐
152,0.6674434,🖕
153,0.66514826,🤭🤭🤭
154,0.66379166,😠
155,0.6632855,🤷🏾‍♀
156,0.6610809,😕
157,0.6531245,😱😱😱
158,0.65200293,😤
159,0.6400583,👀👀👀
160,0.6392927,🤌
161,0.6385672,🤡
162,0.6360241,💀
163,0.63468266,😯
164,0.6344125,😳
165,0.63334394,🤷🏽‍♀
166,0.62761235,🤢
167,0.6271874,🧍🏻‍♀
168,0.62689126,😶
169,0.6225002,🤷🏽‍♂
170,0.6214615,🥱
171,0.6214506,👀👀
172,0.61895216,🤦🏼‍♂
173,0.6188482,🤔🤔
174,0.6161783,🤦🏽‍♀
175,0.6139282,🤦🏿‍♂
176,0.61348283,🤦🏾‍♀
177,0.61213815,💅🏻
178,0.60742295,🤯
179,0.60728264,🧐
180,0.60199165,😡
181,0.60129035,👹
182,0.60052145,🤮
183,0.5991157,🤦🏼‍♀
184,0.5962277,🤷🏼‍♀
185,0.59069204,😼
186,0.5902287,🤷🏻‍♀
187,0.5902047,👎
188,0.5877067,🐀
189,0.577701,👀
190,0.5754482,💩
191,0.5724478,🤦🏾‍♂
192,0.5689585,🤦🏽‍♂
193,0.5604006,😲
