,Similarity,EmojiSequence
0,0.9779825,💛💥
1,0.9756485,🖤💚🖤💚
2,0.97561496,💚💚🐶
3,0.9735596,🙏✨💞
4,0.97147,🥺👉👈✨
5,0.9708518,🌞🍃
6,0.9700101,💕🦄
7,0.9685938,🍣🍤
8,0.9685029,😂🤏💔
9,0.9681585,🌴🥰
10,0.9677329,😋👍✨
11,0.9674183,🤎💛❤
12,0.9665602,🍛🍛🍛
13,0.9663414,🔥🔥🔥💯💯❤
14,0.96523315,🙌🏾🚀
15,0.9648658,✋🏾🤚🏾
16,0.9647993,🥰💚❤
17,0.96396565,😢😭😢
18,0.96369797,😫🤷🏻‍♀
19,0.96358395,👆🏿👆🏿
20,0.9627005,💙🖐
21,0.9624727,🤔😁🧐
22,0.9617514,😊😊😊🤗
23,0.961639,💨💨🤌🏼
24,0.96159554,🚴🚴🚴
25,0.9615727,😢🚮
26,0.9614483,🧐♥
27,0.96092033,🎅🎅🎄🎄
28,0.96051013,🙏🥰🥳
29,0.9603858,🙏🙏💔💔
30,0.9601524,🌟🥰
31,0.9600335,🤣🤣🤣🏃🏃🏃🏃🏃
32,0.9598788,😭😭😭😭😭😭💕💕💕💕💕💕
33,0.9596958,🔥🚀❤
34,0.9589681,🦹🏾‍♂
35,0.9587173,😦😢
36,0.9586077,🤍👏
37,0.9585188,✨✨✨✨✨❤
38,0.9582696,🙌🏻🙈
39,0.95815504,🙄🙄🙃
40,0.9580292,💪🥺💪
41,0.95792615,👇👉😉
42,0.9579169,🧡💗🤍
43,0.95787805,🤩😍💖💖💖💖💖
44,0.95735896,😍😍😋😋😋😋
45,0.95693535,🤮😡😡
46,0.9568976,😄👈
47,0.9566432,😥😥💔💔
48,0.95647526,🚣🚣
49,0.95631343,😅😆😅
50,0.95627844,🙏🏻👍🏻🌹
51,0.9561658,🥰🌹🥰
52,0.9559812,🇱🇾👍
53,0.95591855,🌟🙌🏻
54,0.9559084,🥰🤙
55,0.9557116,💐🇺🇸🇧🇪
56,0.9556676,💓🤤
57,0.95548105,💚🐍💚
58,0.9553919,🔥🍃
59,0.9553503,🐤🐤🐤
60,0.9552786,💞😅
61,0.95525205,✨🗣
62,0.9547213,🎊💯
63,0.95471925,😽💞
64,0.9547033,😍🖐
65,0.9546942,🔫🚀
66,0.95456654,🇩🇿⭐
67,0.95449954,👌🏿🔥
68,0.9544852,😲👀
