,Similarity,EmojiSequence
0,0.89478046,😔😔😔😔
1,0.8937869,🥲🥲🥲🥲
2,0.89167905,😭😔
3,0.883183,😭
4,0.87646925,😔😭
5,0.875613,😭🥲
6,0.8687558,🥲🥲🥲🥲🥲
7,0.86180866,😩
8,0.8613342,😭😞
9,0.8599396,🥲🥺
10,0.8587011,🥲😭
11,0.85789096,😫😫😫😫
12,0.8555751,🥺😭
13,0.85543275,😖😖
14,0.85394835,😭😭💔
15,0.8533553,😩😭
16,0.85094345,😩😩😩😩😩
17,0.85093415,😰😰😰
18,0.85047567,🥲🤣
19,0.8497323,🥺😩
20,0.8486677,😩😩😩😩😩😩
21,0.84826195,😭😭
22,0.8471038,😵😵
23,0.8463986,😔🥺
24,0.84392124,😮‍💨😮‍💨😮‍💨
25,0.8425894,😭😭😭💔
26,0.8413779,😩😩
27,0.84129137,🥺
28,0.8407073,🥺🥺🥺🥺🥺🥺
29,0.8403121,😞😞😞😞
30,0.83928627,😞😞😞
31,0.8391592,😭😭😭
32,0.83682436,💔💔💔💔💔
33,0.83473575,😣😣😣
34,0.83323586,🥺😔
35,0.8313585,😰😰
36,0.83128834,😔😔😔😔😔
37,0.83072025,😫😫
38,0.8285482,😞💔
39,0.8283492,😔
40,0.8248521,😩😩😩😩
41,0.8246848,🥲
42,0.82307136,😣😣
43,0.8225235,😔😔
44,0.822011,😭😩
45,0.8217038,😮‍💨😮‍💨
46,0.818339,😫😫😫
47,0.81648767,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
48,0.81614506,😪😪😪
49,0.8159617,😿😿
50,0.81523573,💔💔💔💔
51,0.81512225,😩😩😩
52,0.8096214,🥴🥴🥴
53,0.8084458,💔🥺
54,0.80800736,😔😔😔
55,0.8061863,😞😞
56,0.80440474,😵‍💫😵‍💫
57,0.804281,😢😭
58,0.80403155,😭😢
59,0.803551,😓😓😓
60,0.7993054,🙃🙃
61,0.7984583,😭😭😭😭😭😭😭
62,0.79047465,😭🥺
63,0.78938866,💔😭
64,0.7891761,🥲🥲🥲
65,0.7874309,😭😍
66,0.78708285,😭😭😭😭😭😭😭😭😭😭😭😭😭😭
67,0.786816,🤧🤧
68,0.7866307,🥺😂
69,0.78540593,🥺🥺🥺🥺🥺
70,0.7816199,😓😓
71,0.78160876,😭😭😭😭😭😭😭😭😭😭😭😭😭
72,0.7796063,🤧🥺
73,0.77906835,🤧🤧🤧
74,0.77902925,😫
75,0.77826476,🥺🤧
76,0.77448046,👉🏼👈🏼
77,0.7727701,😢😢😢
78,0.7711772,😔💔
79,0.7691718,😢😢😢😢
80,0.76835597,🥺😢
81,0.7675395,😭😭😭😭😭😭😭😭
82,0.7671806,🥺🥺🥺🥺
83,0.76547647,😭😭😭😭😭😭😭😭😭😭😭
84,0.7639559,😭😭😭😭😭😭😭😭😭
85,0.7639387,🥺🥲
86,0.76142585,😭😭😭😭😭😭😭😭😭😭
87,0.7597079,😢😢
88,0.7561699,🥲🥲
89,0.75427747,😭💔
90,0.75387937,😭😭😭😭
91,0.75270844,😪😪
92,0.75257117,🤏🏼
93,0.7524497,😭😭😭😭😭😭
94,0.7521186,🤕
95,0.751153,😮‍💨
96,0.75039405,😣
97,0.74757344,🙃🙃🙃
98,0.74511254,🥺🥰
99,0.7398868,😿
100,0.73981285,😪
101,0.73976433,😢💔
102,0.7388077,😦
103,0.7386236,🥺😍
104,0.7384407,👁👄👁
105,0.7382711,🙁
106,0.7378172,😭😭😭😭😭
107,0.73776555,🥺💔
108,0.7377431,😞
109,0.73253334,🥺🥺🥺
110,0.73200166,🥲😂
111,0.7301604,💔💔💔
112,0.7279159,😥😥
113,0.725518,😵‍💫
114,0.7241987,🤒
115,0.72304416,🤧
116,0.7218956,😟
117,0.72058874,💔😔
118,0.71671045,😓
119,0.7116346,😭🤍
120,0.71130294,🧍🏽‍♀
121,0.7105671,😭😭😭😭😭😭😭😭😭😭😭😭
122,0.7080083,🤯🤯
123,0.707742,😥😥😥
124,0.7064767,😖
125,0.70586455,😭🙏🏻
126,0.70192194,😕😕
127,0.6984558,🥵🥵🥵
128,0.6947638,😾
129,0.6940632,🤏🏻
130,0.69398284,🥴
131,0.6936873,🤯🤯🤯
132,0.691442,🥺🥺
133,0.6908818,🥵🥵
134,0.69063556,😭🙏
135,0.67410773,💔😢
136,0.67069125,😑
137,0.66862905,🙃
138,0.6658704,😱😱
139,0.66213024,💔💔
140,0.66062754,🙂🙂
141,0.65900415,😰
142,0.6570728,🥺🤍
143,0.6532439,😕
144,0.63807654,🗿
145,0.63771373,😵
146,0.63104147,😥
147,0.6302769,🧍🏻‍♀
148,0.62647283,🥵
149,0.6260761,📈📈📈
150,0.6220553,😐
151,0.61819196,😤
152,0.61339813,👉👈
153,0.6078639,😢
154,0.607435,💔
155,0.59943867,🧍‍♀
156,0.5979952,🤯
157,0.5958065,😶
158,0.5909252,🥱
159,0.5564652,🤢
160,0.5122001,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
161,0.50529706,☹
