,Similarity,EmojiSequence
0,0.8976605,😂
1,0.8705275,😁
2,0.8628538,🤣
3,0.86255974,😅
4,0.81986105,🤣🤪
5,0.8053972,😉😉😉
6,0.8013334,😃😂
7,0.79424316,😁🤣
8,0.792408,🤭
9,0.7822262,😌
10,0.78190184,😜🤣
11,0.78119874,🙈🙈
12,0.7807294,😅😅😅
13,0.7697796,😂🙏
14,0.7657914,🤣👍
15,0.76539147,😆😆😆
16,0.76340866,😄😄
17,0.75974756,🤣🤭
18,0.7574963,🤣🙈
19,0.74967563,😁😁
20,0.7464039,😅😅
21,0.7448708,🤪😂
22,0.7426944,😆😆
23,0.7374526,🙈😂
24,0.7335217,😉😁
25,0.72823155,😆
26,0.7259618,😂👍
27,0.72330415,😏
28,0.7157408,😝
29,0.71474063,😌😌
30,0.7146729,🙊
31,0.7081297,🤭🤭
32,0.69782007,😂🤌🏻
33,0.68959975,😁😁😁
34,0.6854777,😄
35,0.6793517,😜
36,0.67819285,🤪
37,0.67413247,😛
38,0.6668269,😋😋
39,0.6629456,😀
40,0.6616869,🤏
41,0.62026757,😹
42,0.6048751,😃
43,0.6030133,🤫
44,0.54915535,🚶
45,0.5248664,😨
46,0.4968754,🌝
47,0.37074357,🤦‍♀
