,Similarity,EmojiSequence
0,0.8084496,👍🏽
1,0.80489826,👍🏿
2,0.77687067,👍😂
3,0.77276826,😎
4,0.7705481,😎👍
5,0.76927835,👍🏻👍🏻
6,0.7673185,😉😊
7,0.7646735,😉
8,0.7637448,👍🏼
9,0.76045084,👍🏾
10,0.7592162,🤙
11,0.7551931,💪🏻💪🏻
12,0.751783,👊🏻
13,0.7411309,👌🏼
14,0.7410873,👌👍
15,0.73575854,✌🏼
16,0.7255258,👍👏
17,0.71524906,🙂👍
18,0.70137525,🤠
19,0.69997203,😉😘
20,0.6987697,🤓
21,0.6973014,😉😁
22,0.6916736,💪🏻
23,0.68418556,😈😈😈
24,0.68223786,💪💪
25,0.68109906,🤙🏻
26,0.6803448,👍🏻
27,0.6786308,👍😉
28,0.67515147,💪🏼
29,0.6710128,👌🏻
30,0.67012656,😎😎
31,0.66711116,😌😌
32,0.6663568,👎🏻
33,0.66332465,👏🏻
34,0.66234875,🙂
35,0.65385485,🤜🤛
36,0.6528418,😉🤣
37,0.6493871,😊😊
38,0.6476841,👊
39,0.6462146,🙂🙂
40,0.64506507,✌🏻
41,0.6428066,💪💪💪
42,0.6261402,👏🏼
43,0.62597585,🤘
44,0.6137053,🤚
45,0.6024137,🤑
46,0.59935105,😛
47,0.59915614,🤫
48,0.5816328,🤞
49,0.5777178,😜
50,0.5742166,👍👍👍
51,0.5724453,✋
52,0.56706774,😈
53,0.5545258,👋🏻
54,0.50284004,👋
55,0.48716474,🤝
