,Similarity,EmojiSequence
0,0.9183252,💚😍
1,0.9164509,🤍🥰
2,0.90372384,😍❤❤
3,0.9033248,❤🙏🏻
4,0.9002688,🤩💖
5,0.8983913,🥺💖💖
6,0.89483964,🥰🙏🏻
7,0.8926305,🙏🏻😊
8,0.8906708,😍😘😘
9,0.8886484,💖😍
10,0.88844115,💕🥺
11,0.88742924,💜😘
12,0.8865222,💕😍
13,0.88427013,💕💕💕💕💕💕
14,0.883259,🥺❤❤
15,0.8819948,🌹😍
16,0.88187146,😍🥰😘
17,0.88177985,😘💙
18,0.88166875,😍😍😘
19,0.87863564,🤎🤎
20,0.8781123,🥺💗💗
21,0.87752867,💗🥺
22,0.877462,😍💓
23,0.87664366,🤍🤍🤍🤍🤍
24,0.87637067,😍💖
25,0.8739332,😍😘❤
26,0.8733116,🥰🙈
27,0.87079597,🤍🙏
28,0.8707111,😍😊
29,0.8703344,🥰💖
30,0.8695812,💜😍
31,0.8695445,🥰🥰😍
32,0.8684189,💕🥰
33,0.86775476,💙😍
34,0.86676913,❤🥰
35,0.8664592,🥰🤍
36,0.86644936,💖💖💖💖💖
37,0.8664014,❤😘
38,0.8654007,🙏💖
39,0.8650477,❤😭
40,0.8635747,💗💗💗💗
41,0.86350334,😊😍
42,0.8633851,💜✨
43,0.86069155,😊💖
44,0.8593024,🥺😍😍
45,0.857976,🥰🥳
46,0.85734713,🥰🤗
47,0.857251,😍😍🥰
48,0.857146,😘😘😘😘😘😘😘
49,0.85667866,💕🤗
50,0.8561493,😘🥰
51,0.85591877,😌🤍
52,0.8558893,💖💖💖💖
53,0.8555039,💗💗💗💗💗
54,0.85532486,🥺🤍🤍
55,0.854311,😍💗
56,0.8541504,💖😘
57,0.85401994,🥰😇
58,0.8539369,🙏🏻💙
59,0.85388047,💜🙏
60,0.85264325,❤🤗
61,0.85161185,🥳💗
62,0.8514786,😚❤
63,0.8513584,🔥🥰
64,0.85017407,🥳🤍
65,0.84987235,💗✨
66,0.8497063,💖🥺
67,0.847967,🤗💜
68,0.8478456,🤍😍
69,0.8474765,😭❤❤
70,0.8473312,🙌🏻✨
71,0.84675324,😍💜
72,0.84613556,🥰💙
73,0.8453125,🥰💜
74,0.84421605,🙏💜
75,0.8431205,😊🥰
76,0.843117,😍😇
77,0.8418304,😙❤
78,0.84072596,🥺💜💜
79,0.84049547,🙏😌
80,0.8404335,🥺💕💕
81,0.8384088,💫❤
82,0.8377968,🥰🌹
83,0.8376616,🥺🧡
84,0.8373383,💘💘💘💘
85,0.8367174,😊💜
86,0.83653855,🙂🙌
87,0.8354111,💓💓💓💓
88,0.8344009,😭💞
89,0.8337966,🥰😘😘
90,0.83366394,🥰🥰❤
91,0.8333374,💜🥰
92,0.83320105,🥺🙏🏼
93,0.8325181,💙🙏
94,0.8323015,✨🥰
95,0.83211005,🥺💛
96,0.8317926,🙌🏼❤
97,0.83174646,💜🥺
98,0.8311168,💕💕💕💕💕
99,0.83099765,💝💝
100,0.8303278,😘✨
101,0.8293171,💕💕💕💕
102,0.82907313,😂🖤
103,0.8288814,💛✨
104,0.82885474,🥺🤗
105,0.82823634,🤩♥
106,0.8273516,😍🖤
107,0.82641363,😍🤍
108,0.826203,💐💐💐💐
109,0.8257513,💛💛💛💛💛
110,0.8253555,❤🌹
111,0.825292,🥰😍❤
112,0.8249892,💙🥺
113,0.82494605,✨💜
114,0.824811,😭💚
115,0.824745,😘♥
116,0.8247065,🤣🥰
117,0.82460934,🧡🧡🧡
118,0.8240128,❤✨
119,0.8229039,🥰💚
120,0.82289463,🥺😘
121,0.82280946,😘💖
122,0.82271224,😍😍🥰🥰
123,0.8222502,🤍🙏🏻
124,0.8220296,😘😍
125,0.8218211,♥♥♥
126,0.8217467,😘😘😘😘😘😘
127,0.8217048,🥳♥
128,0.82164645,😚😚😚
129,0.8214685,😍🌹
130,0.82038534,🥺😍❤
131,0.8203595,😊♥
132,0.8199395,🤩🥰
133,0.8198837,👍🌹
134,0.8194406,🙏🙂
135,0.8191036,🙏💚
136,0.819041,🙏🏻😇
137,0.81891304,❤😍
138,0.81814027,😍💘
139,0.81802845,🤗😍
140,0.8179921,🦋🦋
141,0.8175963,💙✨
142,0.81735843,💓💓
143,0.8170016,💞💞💞💞💞
144,0.8164463,💞💞💞💞
145,0.81472,🫂🫂
146,0.8139348,😊🌹
147,0.8139055,🎂🎈
148,0.81389606,💜💜💜💜💜💜
149,0.81373596,✨✨✨✨✨
150,0.81278396,👍😎
151,0.8121879,😴❤
152,0.81181705,😍😎
153,0.8114621,😍💙
154,0.8113894,😭🥺❤
155,0.81130654,🙏💞
156,0.8111641,🎊🎊
157,0.8111021,😳😍
158,0.8104379,❤😊
159,0.81037426,🤎🤎🤎
160,0.8103554,🥺🤍🤍🤍
161,0.81030005,😍🥰❤
162,0.8092588,💛💜
163,0.80915445,❤❤❤❤❤❤❤
164,0.80876386,😘💜
165,0.8085802,❣❣
166,0.80852854,😄❤
167,0.8079202,🧡🧡
168,0.80731547,🥰😍😘
169,0.80724776,💖💖
170,0.8064686,💞💞
171,0.80636233,🥰🥰🥰🥰🥰🥰
172,0.8063337,✨🥺
173,0.80619764,🥰💗
174,0.8057668,💜💜💜💜
175,0.80576134,🤍🥺
176,0.80553836,🥺❣
177,0.80480826,🥰🥰🥰❤
178,0.80421996,💚🙏
179,0.8041494,🌹🥰
180,0.80376875,🤗♥
181,0.8029331,😍😍😘😘
182,0.802626,🥰🤩
183,0.80207926,💛💛💛
184,0.8018526,🌹🌹🌹🌹
185,0.8010459,🥺😭❤
186,0.8009474,😘😘❤
187,0.80090505,🥺🖤
188,0.8004821,💘💘💘
189,0.7993383,💐❤
190,0.79890406,✨💖
191,0.7988589,😻😻😻😻
192,0.7984457,😭💘
193,0.7980163,😙😙
194,0.7964903,✨☺
195,0.7963147,😌🙏
196,0.7958993,🙏💙
197,0.7956065,😍🥳
198,0.79553837,🎁🎂
199,0.7951846,✨🤍
200,0.79496264,🎈🎉
201,0.7945948,😁🥰
202,0.79404545,😘😘😘😘😘
203,0.7939577,😚😚
204,0.79394174,🥂❤
205,0.7936909,💙💜
206,0.7935758,🤍✨
207,0.79356635,🥺🥺🥺🥺🥺🥺🥺
208,0.79320955,🤗😊
209,0.7925594,🎉❤
210,0.79190683,🥳💜
211,0.7915332,😭😭💗
212,0.79070115,🥺💚
213,0.7904912,💚💚💚💚
214,0.7903421,🥲🤍
215,0.7901724,🙏🌸
216,0.7899785,😍☺
217,0.7897101,❤😂
218,0.7889743,🥺💓
219,0.788579,🙏🏻☺
220,0.78845596,✨💕
221,0.7883707,🫂❤
222,0.7880123,💗😘
223,0.78749627,🌸✨
224,0.78738713,💕💕💕
225,0.78734875,😻❤
226,0.78716296,💓💓💓
227,0.7870246,💞💞💞
228,0.78674644,😊😊😊😊
229,0.7861531,🙏💪
230,0.7859769,🥰🙏
231,0.7859658,✨😍
232,0.7857939,🌹💋
233,0.7850809,🍀🤞
234,0.78505814,🙏🏻🥺
235,0.7848816,🥰🥺
236,0.7843911,🙌🏻❤
237,0.78382444,🙏🤍
238,0.7828591,😩💗
239,0.78251326,❤🥺
240,0.7819383,🤝❤
241,0.78172517,🥳🥰
242,0.7813779,🙏🥺
243,0.78130615,🙏🤗
244,0.7810247,💜💜💜💜💜💜💜
245,0.7805753,❤❤❤❤❤
246,0.7804027,🥺😍😍😍
247,0.780366,💖🥰
248,0.77985764,😍😅
249,0.7797004,🙏🥰
250,0.77931035,😩🤍
251,0.77913874,💛💛
252,0.77912915,🥺🥰
253,0.778782,🥰
254,0.77757645,😍😭
255,0.7775255,😊🙏🏻
256,0.77722406,💙💙💙💙
257,0.77706164,🥰☺
258,0.77664816,🎂🥳
259,0.77600276,💙💙💙💙💙
260,0.7759495,🥺💞
261,0.77583885,🤍🤍🤍🤍
262,0.7751317,🥰❣
263,0.7746563,😍😍😍❤
264,0.7743846,😇🥰
265,0.77393997,😉🥰
266,0.77382517,🙏😂
267,0.7733157,🥰💕
268,0.7729248,🤍🕊
269,0.77287793,🙏🏼❤
270,0.77253556,🙂🙏
271,0.7725196,😘😘😘😘
272,0.7724631,🥰😘
273,0.7723799,💕🎄
274,0.7718669,🫂🤍
275,0.7717284,😍✨
276,0.7716787,😍😘
277,0.77135545,🌹🌷
278,0.7713475,💜💜💜💜💜
279,0.7713206,😩😍
280,0.77053183,🥺💜
281,0.7701924,💖✨
282,0.76997745,💖💖💖
283,0.76989675,🤤❤
284,0.7692462,💛💛💛💛
285,0.76912,🥺💗
286,0.7688045,🥺💖
287,0.7685434,🌹🌹🌹🌹🌹
288,0.76761913,💗💗💗
289,0.76748884,🌻🌻🌻
290,0.76686764,😞❤
291,0.76538193,🎂🎁
292,0.7651459,🙏🏿🙏🏿
293,0.7650236,💕✨
294,0.764656,🌷🌷
295,0.76436186,🥰✨
296,0.7643554,🥳✨
297,0.76266956,😊🤗
298,0.76173615,🙈❤
299,0.76145196,😭🖤
300,0.76096743,😭🥰
301,0.7607454,😇❤
302,0.76050574,😭💜
303,0.7590894,😘🙏
304,0.7584234,🤗🥰
305,0.7582103,😍💕
306,0.75712955,😊💙
307,0.7569519,🌸🌹
308,0.7568758,🥰🥰🥰🥰🥰
309,0.7568258,😔🙏🏻
310,0.75647426,🤗🌹
311,0.7562214,🙏🙋‍♀
312,0.7562187,🙏🏻🤍
313,0.7555863,🥳😍
314,0.7542541,🌹😘
315,0.75407404,😘🌹
316,0.75333667,🥰😂
317,0.75248903,🙌🏻🙌🏻
318,0.7521517,😫❤
319,0.75192314,❤🙏
320,0.7518444,🤭😍
321,0.7502946,💜❤
322,0.75028527,🎉🎉🎉🎉🎉
323,0.74965245,🎉🎈
324,0.7494585,😍❣
325,0.74916196,🤤😋
326,0.7489543,😍🎄
327,0.7488148,💋❤
328,0.74838054,🥺💘
329,0.7483516,🤗🤗🤗🤗
330,0.7483237,🎄🥰
331,0.74771297,😍🤗
332,0.7469773,😁😍
333,0.7459991,😊😘
334,0.7454113,😭💖
335,0.7453919,🎈🎈
336,0.74433446,💕💕
337,0.7442449,😍🥺
338,0.74402344,🙏🏾🙏🏾🙏🏾
339,0.7437339,💋🌹
340,0.74356765,☺☺
341,0.7427784,🙏😊
342,0.74277484,🌺🌺🌺🌺
343,0.74268526,🤍🤍🤍
344,0.7418987,😍😍😍😍😍😍😍😍
345,0.7416637,🥺🤏🏻
346,0.74136746,🤗🙏
347,0.740806,😋😍
348,0.7406477,🙏🏼♥
349,0.7402195,💪🏼💪🏼
350,0.73917246,🙏🏽❤
351,0.739164,😗😗
352,0.7390085,💕💋
353,0.73898184,🤣😍
354,0.7389121,🥲♥
355,0.7378266,🥳🎂
356,0.73741406,🎉🎉🎉🎉
357,0.7365498,🎂💐
358,0.7361125,🌸🌸
359,0.7352799,🙏🏽🙏🏽
360,0.734752,😘🤗
361,0.734032,😁😘
362,0.733536,🌺🌺🌺
363,0.7332648,🥺💙
364,0.7329571,😭💕
365,0.73230076,❤❤❤❤
366,0.7318886,🌺❤
367,0.7318504,🙏🏻♥
368,0.73184365,😍🤩
369,0.731261,😍💚
370,0.7312604,🌻🌻
371,0.7311179,🖤🖤🖤
372,0.7308483,🤩😂
373,0.7302933,👏🙏
374,0.72972894,🌸❤
375,0.7295023,💜💜
376,0.72947323,🙏🌷
377,0.7290475,💝💝💝
378,0.72864616,🥰🥰🥰🥰
379,0.7285527,🙏🤲
380,0.7285256,😔🙏
381,0.7284904,😂💙
382,0.72822493,❤🔥
383,0.7281952,🥰💞
384,0.72801125,💘💘
385,0.72799456,🙌🙏
386,0.7276587,😭💙
387,0.7276032,😋❤
388,0.727373,🤗❤
389,0.7270386,😍🙏
390,0.7268418,🤤🤤🤤🤤🤤
391,0.7262903,🙏🏻🙏🏻🙏🏻🙏🏻
392,0.7262739,😍😁
393,0.72508186,👍👍👍👍👍
394,0.7250397,😍😋
395,0.7247586,🙏😭
396,0.7247449,😔🤍
397,0.7237232,☺☺☺
398,0.72325414,🥺🙏🏻
399,0.7230997,👏❤
400,0.72291076,🤭❤
401,0.72238684,😊😁
402,0.72208863,🤩🥳
403,0.72191554,🙏☺
404,0.7211546,🙏👍
405,0.7205827,😭💗
406,0.72037464,😳❤
407,0.71959007,🙏🙏🙏🙏🙏
408,0.71846795,😇🙏
409,0.7175218,😂🤍
410,0.71627903,🥺💕
411,0.71619034,💕😘
412,0.71617854,🥰😍
413,0.715541,🌟🌟
414,0.7152424,🙏😇
415,0.71489567,😊😉
416,0.7142859,💚💚💚
417,0.7138893,🥺😍
418,0.71331286,✌🏻✌🏻
419,0.71295106,🙏😍
420,0.71284086,😽😽
421,0.7125244,🌹💐
422,0.7123601,🙌🏻🙌🏻🙌🏻
423,0.7116225,🌺🌺
424,0.71137106,🥺🙏
425,0.7106868,🙊🙊
426,0.71043575,🤲🏻🤲🏻🤲🏻
427,0.71038735,🤤😍
428,0.7102093,🌺🌹
429,0.7099723,😍🥰
430,0.7096355,💋💋
431,0.7095078,🤧❤
432,0.70920205,🙏😘
433,0.7090196,🧚🏼‍♀
434,0.70751107,🤩🤩🤩🤩🤩
435,0.7074983,🙏🏼🙏🏼🙏🏼🙏🏼
436,0.70637953,💐🎂
437,0.70580274,💐💐💐
438,0.7050222,🙏😁
439,0.7040492,🎂🎂🎂
440,0.7040409,🙏🏻🌹
441,0.70396537,🙏🕊
442,0.7029107,😍😍😍😍😍😍😍
443,0.70212907,🙏💕
444,0.7020043,🥰🥰
445,0.7010019,🙂🙃
446,0.7008769,🙏🙏🙏🙏🙏🙏🙏
447,0.6997014,💗💗
448,0.6994227,💐💐
449,0.6990596,🤗🤗🤗
450,0.6974444,🤲🏿
451,0.6964302,👌🏻👌🏻
452,0.6951841,💙💙💙
453,0.6951397,🌹🌺
454,0.69412464,🤩🤩🤩🤩
455,0.6922263,💜💜💜
456,0.692088,🤍💙
457,0.6912694,🙏🏽🙏🏽🙏🏽
458,0.6908655,🙏🏼🙏🏼
459,0.689873,🙏🙏❤
460,0.6887803,😍👍
461,0.6886595,👍🏼👍🏼
462,0.6872229,😁🙏
463,0.68694615,😂😘
464,0.68693864,🙏🏾❤
465,0.68686473,💃💃💃
466,0.68644214,🖤🖤
467,0.68579596,🥺🤍
468,0.6854689,💙💙
469,0.68440264,💖💖😘🌹
470,0.684315,😭😭🙏
471,0.6839769,🙏♥
472,0.68384904,❤❤❤
473,0.6833142,❤❤❤❤❤❤
474,0.6831554,🙏😔
475,0.68028206,🤝🤝
476,0.6790488,💚💚
477,0.6775907,🤲🏻🤲🏻
478,0.6765412,🎂🎂
479,0.67611784,😻😻
480,0.6752872,💞💕
481,0.6740935,👊🏾
482,0.6726946,😇😇
483,0.67208815,🥺✨
484,0.6702053,🙏🏼🙏🏼🙏🏼
485,0.6689787,👌🏿
486,0.6687251,😍
487,0.6684987,🌷🌹
488,0.6677802,👍🏻👍🏻👍🏻
489,0.6673576,🤘🔥🤘
490,0.66731393,😍😍😍😍😍😍
491,0.666502,👍👌
492,0.6651002,😆❤
493,0.6650152,😽
494,0.6644311,🤲🙏
495,0.66287357,😍😍😍😍😍
496,0.66264737,🤗🤗
497,0.6621969,💋💋💋
498,0.6613705,👌👌👌👌
499,0.66119003,🤤🤤🤤🤤
500,0.66091764,🥳🥳🥳🥳🥳
501,0.6608241,🤍🖤
502,0.6601405,💃💃
503,0.65957546,👍👍👍👍
504,0.65957505,🥰🥰🥰
505,0.65946215,🙏🙏🙏🙏🙏🙏
506,0.6589472,🤞🍀
507,0.65892315,❤👍
508,0.65736926,🙏💐
509,0.656935,😻😻😻
510,0.6562269,👏🏽👏🏽
511,0.655679,🤲🏽
512,0.6547564,💐🙏
513,0.6535678,🙏🌺
514,0.65289736,😸😸🐾💙🐾
515,0.6500425,🙏🍀
516,0.6499853,🥺👉👈
517,0.64848423,🤩😍
518,0.6480082,🖤🤍
519,0.6477527,😇😇😇
520,0.6474494,😊😊😊
521,0.6466716,😘😘😘
522,0.64522743,😍🤤
523,0.64321756,😍😂
524,0.64249265,🌷🙏
525,0.64150417,😊❤
526,0.63998103,🌹🙏
527,0.63947,🙏🏻🙏🏻
528,0.63913864,😚
529,0.6387725,🎄😘
530,0.63651204,🤗💕
531,0.63651156,🥺🤲
532,0.63641596,👍🙏
533,0.6348261,😛😛
534,0.6347333,💚💚💚💚💚
535,0.6334612,🙏🏻🙏🏻🙏🏻
536,0.6324296,🔥😍
537,0.6317389,👏🏻👏🏻👏🏻👏🏻
538,0.6310717,🛐🛐
539,0.63069606,😘😘
540,0.6284953,🙏🏾🙏🏾
541,0.6282302,🤗😘
542,0.62666845,🌺🙏
543,0.62591535,👐
544,0.62306994,👏🏼👏🏼
545,0.6217195,🥳❤
546,0.62147,💎💎
547,0.6197083,🙌🏽
548,0.6178924,💫💫
549,0.6164293,🤌🏽
550,0.6157577,🤲🏾
551,0.6157322,🙌🏼
552,0.6133809,🫀
553,0.6129181,😍😍😍😍
554,0.61237514,🌹🌹
555,0.61132264,🍀🍀
556,0.60777664,🤲🤲🤲
557,0.60430896,✊🏻
558,0.6028472,🤲🤲
559,0.6012484,😋😋😋😋
560,0.5999048,🙏🌹
561,0.5990598,🍀🍀🍀
562,0.5990072,🙏🏿
563,0.598526,🙌🙌
564,0.59469473,😘💞
565,0.5943516,😙
566,0.587749,😘
567,0.5876794,😍😍
568,0.58543175,🫂
569,0.5836909,🙌🏻
570,0.58302855,👉🏻👈🏻
571,0.58127266,💘
572,0.5802628,😍🔥
573,0.57964647,🙏
574,0.57950604,🤩🤩🤩
575,0.5790999,👌🏽
576,0.5777128,😻
577,0.57342935,👌👌👌
578,0.57280886,💃🏻
579,0.57174706,🙏❤
580,0.5713889,🤩🤩
581,0.5704577,🙏🏽
582,0.56461036,🙏🏼
583,0.563828,🤝🏻
584,0.5624779,🙌🏾
585,0.56111956,💝
586,0.55818284,❤❤
587,0.5578233,👌👏
588,0.55725557,🙏🏾
589,0.55610156,🦋🦋🦋
590,0.5557796,😍👌
591,0.5548767,♥♥
592,0.5540719,🙌🙌🙌
593,0.55385405,👌👌
594,0.552493,👏🏻👏🏻👏🏻
595,0.55206823,🙏🙏🙏🙏
596,0.5513948,👏👏👏👏👏
597,0.5470867,😍😍😍
598,0.54655385,🤤🤤🤤
599,0.5433247,👏🏻👏🏻
600,0.5431937,🛐
601,0.53981745,🤞🏻
602,0.5384059,👏🏽
603,0.5099734,👏👏👏👏
604,0.505949,🙏🏻
605,0.5037563,🤲🏼
606,0.49251175,🤲🏻
607,0.49089062,💌
608,0.4863439,💟
609,0.46449703,✅✅
610,0.46231186,🙏🙏
611,0.44501817,🙏🙏🙏
612,0.42977226,🚩🚩🚩
613,0.42954344,💋
614,0.3991176,💚
